carpark_number,update_datetime,total_lots,lot_type,lots_available
B44,2022-07-01T02:59:47,1080,C,325
SK27,2022-07-01T02:54:53,556,C,286
TE13,2022-07-01T02:58:37,143,C,113
SK96,2022-07-01T02:55:54,393,C,153
AR2L,2022-07-01T02:58:49,4,C,0
A10,2022-07-01T02:59:09,64,C,21
A8,2022-07-01T02:59:01,52,C,0
B95,2022-07-01T02:58:38,359,C,188
B96,2022-07-01T02:58:39,242,C,124
AV1,2022-07-01T02:58:44,277,C,194
H4,2022-07-01T02:58:51,102,C,74
H17,2022-07-01T02:58:52,229,C,75
H18,2022-07-01T02:58:52,336,C,205
Y16,2022-07-01T02:57:36,173,C,11
S102,2022-07-01T02:56:13,690,C,268
BKE1,2022-07-01T02:58:34,22,C,5
BKE9,2022-07-01T02:58:34,38,C,19
Y17,2022-07-01T02:59:32,459,C,110
JM16,2022-07-01T02:59:33,534,C,231
JM17,2022-07-01T02:59:33,954,C,672
SK67,2022-07-01T02:56:41,569,C,285
PL36,2022-07-01T02:57:39,382,C,69
SK65,2022-07-01T02:55:43,568,C,376
SK64,2022-07-01T02:56:20,394,C,212
CR1,2022-07-01T02:56:41,129,C,48
BBB,2022-07-01T02:57:43,193,C,137
BM31,2022-07-01T02:58:39,622,C,564
CSM,2022-07-01T02:58:43,260,C,223
FRM,2022-07-01T02:55:19,264,C,194
GE1B,2022-07-01T02:59:05,64,C,35
GE1C,2022-07-01T02:58:47,128,C,93
GEM,2022-07-01T02:58:46,231,C,222
HG15,2022-07-01T02:56:11,123,C,72
HG16,2022-07-01T02:56:08,73,C,55
HG25,2022-07-01T02:55:52,434,C,406
HG37,2022-07-01T02:56:15,256,C,32
HG38,2022-07-01T02:56:06,1244,C,287
HG45,2022-07-01T02:56:02,458,C,134
HG46,2022-07-01T02:56:08,242,C,0
HG88,2022-07-01T02:47:38,699,C,360
HG9,2022-07-01T02:55:59,247,C,83
HG9T,2022-07-01T02:56:04,147,C,99
JCM,2022-07-01T02:58:58,372,C,303
JCML,2022-07-01T02:58:58,2,C,0
K10,2022-07-01T02:58:42,96,C,2
KAM,2022-07-01T02:58:45,396,C,323
KAML,2022-07-01T02:58:46,5,C,3
KAMS,2018-01-25T05:07:01,20,C,20
KM1,2022-07-01T02:58:42,424,C,248
LUB,2017-04-01T09:28:33,3,C,0
MP14,2022-07-01T02:59:10,60,C,51
MP15,2022-07-01T02:58:41,23,C,20
MP16,2022-07-01T02:58:41,22,C,15
MP19,2022-07-01T02:58:41,511,C,510
PR3,2022-07-01T02:55:54,384,C,159
PR6,2022-07-01T02:56:14,337,C,252
PRM,2022-07-01T02:58:36,576,C,499
SIM4,2022-07-01T02:55:56,590,C,408
T55,2022-07-01T02:56:05,8,C,7
TAM1,2022-07-01T02:55:55,425,C,307
KE1,2022-07-01T02:58:38,858,C,199
EI3,2022-07-01T02:59:08,265,C,52
HR1,2022-07-01T02:59:10,78,C,3
HR2,2022-07-01T02:59:10,187,C,39
HR3,2022-07-01T02:58:41,227,C,89
HR4,2022-07-01T02:58:41,103,C,62
HR5,2022-07-01T02:59:06,91,C,28
B24,2022-07-01T02:58:42,150,C,48
B25,2022-07-01T02:58:58,138,C,0
B69,2022-07-01T02:58:58,370,C,165
T77,2022-07-01T02:57:40,24,C,2
TAM2,2022-07-01T02:57:40,533,C,397
BJ25,2022-07-01T02:56:53,264,C,98
BJ26,2022-07-01T02:56:41,192,C,0
BJ62,2022-07-01T02:56:51,68,C,20
TWM2,2022-07-01T02:56:51,674,C,498
HG87,2022-07-01T02:54:46,1278,C,884
HG90,2022-07-01T02:57:08,784,C,352
HG91,2022-07-01T02:57:10,785,C,371
SD11,2022-07-01T02:58:05,82,C,21
BRM,2022-07-01T02:56:36,469,C,155
B23T,2018-12-26T13:34:57,4,C,4
W94,2022-07-01T00:35:50,359,C,358
JM21,2022-07-01T02:59:26,459,C,186
JM24,2022-07-01T02:59:26,786,C,536
T43,2022-07-01T02:57:35,224,C,43
T44,2022-07-01T02:57:35,229,C,53
T45,2022-07-01T02:57:35,339,C,110
T46,2022-07-01T02:57:35,297,C,77
TM19,2022-07-01T02:58:05,100,C,86
TM20,2022-07-01T02:58:05,234,C,47
BR9,2022-07-01T02:58:55,50,C,31
Q73,2022-07-01T02:57:42,26,C,0
Q70,2022-07-01T02:57:49,25,C,1
Q67,2022-07-01T02:57:50,78,C,52
J66,2022-07-01T02:59:16,77,C,53
J67,2022-07-01T02:59:16,156,C,39
J68M,2022-07-01T02:59:16,276,C,247
PP6,2022-07-01T02:58:54,111,C,72
SIM6,2022-07-01T02:57:44,251,C,34
KJ1,2022-07-01T02:58:38,170,C,63
KJ2,2022-07-01T02:58:49,104,C,54
B26,2022-07-01T02:56:02,225,C,55
B27,2022-07-01T02:56:09,268,C,79
GMLM,2018-06-08T15:03:35,1530,C,1347
GM2,2022-07-01T02:58:55,65,C,39
GM3,2022-07-01T02:58:55,56,C,37
GM5,2022-07-01T02:58:55,118,C,86
GM2A,2022-07-01T02:58:55,146,C,41
GM6B,2022-07-01T02:58:56,232,C,154
KJM2,2022-07-01T02:55:40,467,C,272
HVM,2022-07-01T02:58:52,587,C,237
T1,2022-07-01T02:55:58,413,C,154
T3,2022-07-01T02:55:57,277,C,78
T7,2022-07-01T02:55:55,110,C,75
T8,2022-06-14T17:03:14,211,C,121
KJ3,2022-07-01T02:55:39,334,C,154
KJM1,2022-07-01T02:58:34,265,C,134
KJ4,2022-07-01T02:57:56,182,C,70
CVBK,2022-07-01T02:57:11,444,C,49
BKRM,2022-07-01T02:58:22,278,C,179
U52,2022-07-01T02:57:48,952,C,326
CK62,2022-07-01T02:56:34,1200,C,911
CK63,2022-07-01T02:56:40,866,C,329
CK64,2022-07-01T02:57:00,1284,C,1063
P8,2022-07-01T02:57:42,379,C,161
P9,2022-07-01T02:57:42,382,C,175
PL53,2022-07-01T02:58:12,424,C,137
RC2,2022-07-01T02:58:37,186,C,52
RC3,2022-07-01T02:58:28,267,C,95
SK66,2022-07-01T02:56:54,522,C,209
BRM1,2022-07-01T02:58:46,335,C,126
Y36,2022-07-01T02:56:47,287,C,45
CK11,2022-07-01T02:56:48,393,C,121
CK35,2022-07-01T02:56:40,345,C,142
K19,2022-07-01T02:59:02,96,C,2
SK18,2022-07-01T02:58:00,665,C,330
J17,2022-07-01T02:56:50,162,C,56
J20,2022-07-01T02:56:43,365,C,81
HE9,2022-07-01T02:58:43,89,C,26
JM20,2022-07-01T02:59:35,923,C,9
PM24,2022-07-01T02:55:18,295,C,176
PR14,2022-07-01T02:55:18,84,C,0
BRM5,2022-07-01T02:58:46,376,C,191
BRM6,2022-07-01T02:58:04,467,C,138
H6,2022-07-01T02:58:43,212,C,79
P7,2022-07-01T02:57:32,896,C,445
CK58,2022-07-01T02:56:42,2637,C,2233
W11,2022-07-01T00:37:39,303,C,31
W11M,2022-07-01T00:37:39,310,C,103
BJ13,2022-07-01T02:58:28,352,C,28
C11,2022-07-01T02:58:57,359,C,230
C29,2022-07-01T02:58:44,189,C,161
C30,2022-07-01T02:58:48,211,C,102
C31,2022-07-01T02:58:48,145,C,20
C33,2022-07-01T02:58:32,805,C,254
C34,2022-07-01T02:58:32,147,C,15
C35,2022-07-01T02:58:36,647,C,198
C36,2022-07-01T02:58:45,86,C,0
C37,2022-07-01T02:58:46,423,C,263
C38,2022-07-01T02:58:36,265,C,56
CKM2,2022-07-01T02:58:57,301,C,135
CTM1,2022-07-01T02:58:48,266,C,157
JMB2,2022-07-01T02:58:59,666,C,438
JMB3,2022-07-01T02:58:46,577,C,203
U11,2022-07-01T02:56:07,60,C,0
U7,2022-07-01T02:55:30,291,C,127
U8,2022-07-01T02:58:52,121,C,3
A49,2022-07-01T02:58:56,179,C,17
A76,2022-07-01T02:58:57,636,C,306
U50,2022-07-01T02:58:35,37,C,30
T57,2022-07-01T02:57:40,22,C,6
T78,2022-07-01T02:57:38,266,C,24
PM43,2022-07-01T02:57:04,342,C,139
PM44,2022-07-01T02:57:04,352,C,144
T73,2022-07-01T02:57:40,309,C,104
BKE4,2022-07-01T02:58:43,43,C,2
W69,2022-07-01T00:35:55,492,C,259
PL12,2022-07-01T02:57:35,747,C,326
PL13,2016-12-25T12:34:06,375,C,372
SK46,2022-07-01T02:55:42,644,C,337
SK47,2022-07-01T02:55:00,630,C,361
JSA1,2022-07-01T02:58:36,63,C,34
TJ39,2022-06-30T22:30:54,663,C,300
TM6,2022-07-01T02:58:43,809,C,795
TM7,2022-07-01T02:58:43,245,C,82
AR7L,2022-07-01T02:58:45,4,C,3
CK75,2022-07-01T02:56:57,1494,C,970
CK76,2022-07-01T02:56:52,755,C,298
W70,2022-07-01T00:37:42,298,C,140
W74,2022-07-01T00:37:42,381,C,196
CK65,2022-07-01T02:57:41,69,C,5
SB1,2022-07-01T02:58:07,436,C,217
SB6,2022-07-01T02:57:24,518,C,281
WD1B,2018-10-12T16:48:40,1000,C,0
BB8M,2019-03-02T03:59:46,1000,C,720
JB42,2018-11-02T03:59:39,1000,C,218
TBM,2022-07-01T02:58:36,307,C,155
B81,2022-07-01T02:59:38,622,C,419
B92,2022-07-01T02:59:38,757,C,397
Y34,2022-07-01T02:56:17,1189,C,441
Y34A,2022-07-01T02:56:17,233,C,123
B67,2022-07-01T02:59:57,334,C,15
T74,2022-07-01T02:57:39,232,C,84
TM10,2022-07-01T02:57:25,291,C,70
TM9,2022-07-01T02:57:25,20,C,0
SE12,2022-07-01T02:58:15,722,C,300
CK70,2022-07-01T02:56:58,620,C,515
CK71,2022-07-01T02:56:44,371,C,82
CK77,2022-07-01T02:56:43,798,C,454
SK34,2022-07-01T02:58:40,500,C,145
SK35,2022-07-01T02:58:40,1044,C,693
B21,2022-07-01T03:00:04,555,C,160
W517,2022-07-01T00:37:35,1158,C,649
TM33,2022-07-01T02:57:33,378,C,151
TM34,2022-07-01T02:57:33,463,C,149
B89,2022-07-01T02:59:53,287,C,121
Q94,2022-07-01T02:58:17,21,C,0
W20,2022-07-01T00:37:41,781,C,248
Y40,2022-07-01T02:58:09,763,C,196
A100,2022-07-01T02:59:08,64,C,36
A73,2022-07-01T02:58:59,414,C,153
A74,2022-07-01T02:59:05,185,C,11
Q66,2022-07-01T02:58:15,97,C,61
BE232,2017-02-06T10:23:27,500,C,499
BE241,2017-02-06T10:23:27,500,C,499
TM35,2022-07-01T02:58:41,632,C,298
BL22,2022-07-01T02:59:01,358,C,195
JM32,2022-07-01T02:58:57,410,C,230
PL17,2022-07-01T02:57:25,609,C,341
PL20,2022-07-01T02:57:25,617,C,327
PL22,2022-07-01T02:57:25,379,C,193
PL26,2022-07-01T02:57:25,375,C,197
BLM,2022-07-01T02:57:11,556,C,296
HG71,2022-07-01T02:57:00,685,C,242
TM23,2022-07-01T02:57:46,242,C,53
TM24,2022-07-01T02:57:46,344,C,107
W108,2022-07-01T00:36:57,76,C,40
JM2,2022-07-01T02:58:35,300,C,163
JM3,2022-07-01T02:58:36,547,C,305
JM4,2022-07-01T02:58:36,435,C,224
JM11,2022-07-01T02:58:36,573,C,356
JM26,2022-07-01T02:58:36,571,C,300
JM27,2022-07-01T02:58:37,537,C,323
JSR2,2022-07-01T02:58:37,593,C,365
SK55,2022-07-01T02:55:15,905,C,491
UBM1,2022-07-01T02:58:44,914,C,564
KB18,2022-07-01T02:57:52,36,C,0
KB20,2022-07-01T02:57:52,225,C,102
W578,2022-07-01T00:36:24,418,C,219
W579,2022-07-01T00:36:24,403,C,192
Y45M,2022-07-01T02:58:46,567,C,122
HG42,2022-07-01T02:57:03,701,C,50
KE2,2022-07-01T03:00:01,209,C,58
KE4,2022-07-01T03:00:01,133,C,18
BJ29,2022-07-01T02:56:49,1318,C,947
T72,2022-07-01T02:57:19,640,C,188
A4,2022-07-01T02:58:54,337,C,114
A24,2022-07-01T02:59:05,214,C,139
GEML,2022-07-01T02:58:47,3,C,3
W509,2022-07-01T00:37:28,583,C,258
W516,2022-07-01T00:37:28,574,C,358
HG1B,2022-07-01T02:58:48,659,C,245
BJ24,2022-07-01T02:56:44,258,C,13
BJ27,2022-07-01T02:56:50,305,C,200
B11,2022-07-01T02:59:47,1011,C,405
W86,2022-07-01T00:37:33,465,C,264
W89,2022-07-01T00:37:33,524,C,276
BJ66,2022-07-01T02:56:44,868,C,587
BJ67,2022-07-01T02:56:40,1000,C,781
TB18,2022-07-01T02:58:37,71,C,3
TM48,2022-07-01T02:57:43,224,C,92
AR1L,2022-07-01T02:58:53,4,C,1
PL56,2022-07-01T02:57:48,670,C,341
PL60,2022-07-01T02:57:38,558,C,177
B50,2022-07-01T02:59:37,581,C,145
W71,2022-07-01T00:37:09,377,C,176
PL61,2022-07-01T02:57:34,938,C,335
PM21,2022-07-01T02:58:57,428,C,211
Y43,2022-07-01T02:56:52,716,C,161
B54,2022-07-01T02:59:42,145,C,32
B91,2022-07-01T02:59:42,51,C,41
B57,2022-07-01T02:59:37,426,C,154
TJ35,2022-07-01T02:59:32,365,C,103
TJ38,2022-07-01T02:59:32,293,C,123
BL17,2022-07-01T02:59:53,443,C,167
P13,2022-07-01T02:57:07,150,C,45
PL66,2022-07-01T02:57:34,534,C,247
HG12,2022-07-01T02:57:07,290,C,58
HG13,2022-07-01T02:57:09,97,C,42
HG14,2022-07-01T02:57:09,504,C,91
DWSV,2022-07-01T02:58:13,11,C,0
T48,2022-07-01T02:57:18,648,C,165
TM45,2022-07-01T02:57:18,277,C,126
B40,2022-07-01T02:59:36,540,C,211
W527,2022-07-01T00:37:12,334,C,183
W536,2022-07-01T00:37:12,326,C,122
T76,2022-07-01T02:57:30,348,C,93
KE3,2022-07-01T03:00:01,1018,C,359
W676,2022-07-01T02:58:50,206,C,175
PR2,2022-07-01T02:57:04,791,C,105
Y25,2022-07-01T02:58:36,608,C,219
Y25M,2022-07-01T02:58:37,114,C,47
HG34,2022-07-01T02:57:02,360,C,0
B79,2022-07-01T02:59:43,1719,C,828
HG35,2022-07-01T02:57:23,315,C,33
SE37,2022-07-01T02:58:48,85,C,10
SE42,2022-07-01T02:59:10,352,C,125
SE43,2022-07-01T02:59:10,32,C,0
PL54,2022-07-01T02:57:45,497,C,259
PL55,2022-07-01T02:57:46,364,C,203
PL62,2022-07-01T02:57:46,300,C,167
KU2,2022-07-01T02:58:49,477,C,88
KU3,2022-07-01T02:58:50,337,C,28
KU4,2022-07-01T02:58:50,474,C,65
KU1,2022-07-01T02:58:46,586,C,191
KU9,2022-07-01T02:58:46,101,C,28
BR11,2022-07-01T02:58:46,268,C,75
BR12,2022-07-01T02:58:46,57,C,3
HG24,2022-07-01T02:57:13,325,C,38
HG29,2022-07-01T02:57:06,232,C,49
CR6,2022-07-01T02:56:57,88,C,39
SB17,2022-07-01T02:58:41,561,C,392
SB20,2022-07-01T02:58:40,359,C,248
SB25,2022-07-01T02:58:41,524,C,239
SB32,2022-07-01T02:58:41,143,C,46
KE3M,2022-07-01T03:00:01,255,C,187
BL23,2022-07-01T02:58:52,631,C,262
TM50,2022-07-01T02:58:03,284,C,91
PL57,2022-07-01T02:57:33,521,C,147
PL58,2022-07-01T02:57:35,566,C,300
SD1,2022-07-01T02:58:09,159,C,10
PR10,2022-07-01T02:57:35,725,C,315
PM20,2022-07-01T02:57:15,814,C,320
P16,2022-07-01T02:57:15,150,C,61
T12,2022-07-01T02:57:13,250,C,70
T13,2022-07-01T02:57:13,392,C,151
CAM,2022-07-01T02:58:14,475,C,181
CKM7,2022-07-01T02:57:01,537,C,236
CKM8,2022-07-01T02:56:36,992,C,698
HG1C,2022-07-01T02:57:12,566,C,139
W56,2022-07-01T00:37:33,537,C,368
W889,2022-07-01T00:37:33,567,C,358
W56L,2022-07-01T00:37:33,10,C,0
W887,2022-07-01T00:37:53,286,C,93
MNM,2022-07-01T02:55:51,453,C,166
T25,2022-07-01T02:57:28,170,C,10
W505,2022-07-01T00:35:58,368,C,154
PM15,2022-07-01T02:58:59,1000,C,997
A59,2022-07-01T02:59:02,172,C,15
BJ21,2022-07-01T02:56:35,183,C,26
BJ63,2022-07-01T02:56:46,1640,C,1249
PM4,2022-07-01T02:58:48,809,C,800
PM5,2022-07-01T02:58:49,325,C,96
PM2,2022-07-01T02:58:58,1000,C,994
PM9,2022-07-01T02:58:59,220,C,0
PRS1,2022-07-01T02:58:59,21,C,1
W76,2022-07-01T00:37:54,480,C,265
W77,2022-07-01T00:37:54,388,C,175
W78,2022-07-01T00:37:54,442,C,212
PM22,2022-07-01T02:58:58,355,C,251
PR12,2022-07-01T02:58:58,392,C,73
DWST,2022-07-01T02:58:25,13,C,0
Y51,2022-07-01T02:58:58,483,C,59
Y51M,2022-07-01T02:58:59,486,C,90
Y53M,2022-07-01T02:58:59,400,C,148
Y59M,2022-07-01T02:58:59,248,C,31
Y60M,2022-07-01T02:58:59,383,C,227
Y61M,2022-07-01T02:59:00,553,C,247
T24,2022-07-01T02:57:28,204,C,84
A7,2022-07-01T02:58:48,238,C,106
A36,2022-07-01T02:58:34,680,C,270
A47,2022-07-01T02:58:59,303,C,76
PM35,2022-07-01T02:53:37,361,C,118
P14,2022-07-01T02:57:03,602,C,290
P15,2022-07-01T02:57:00,90,C,46
P17,2022-07-01T02:57:15,135,C,27
T11,2022-07-01T02:57:26,250,C,61
T9,2022-07-01T02:57:26,570,C,200
C21L,2022-07-01T02:50:52,10,C,2
A51,2022-07-01T02:58:50,40,C,11
AM19,2022-07-01T02:58:50,328,C,112
W8M,2022-07-01T00:35:40,217,C,82
CK14,2022-07-01T02:56:58,371,C,30
SMM,2022-07-01T02:58:28,859,C,367
W103,2022-07-01T00:36:57,339,C,192
W109,2022-07-01T00:36:57,22,C,4
W75,2022-07-01T00:36:51,375,C,211
W53,2022-07-01T00:35:58,397,C,106
W72,2022-07-01T00:36:29,524,C,259
W73,2022-07-01T00:37:57,440,C,219
T49,2022-07-01T02:57:40,468,C,76
T49A,2022-07-01T02:57:40,164,C,88
PR4,2022-07-01T02:56:35,1117,C,278
TBC2,2022-07-01T02:58:45,264,C,132
Y32,2022-07-01T03:00:44,382,C,125
Y31,2022-07-01T02:58:37,313,C,79
BJ19,2022-07-01T02:56:45,491,C,27
CK15,2022-07-01T02:56:44,246,C,0
CK6,2022-07-01T02:58:40,40,C,27
CK6A,2022-07-01T02:58:41,300,C,242
P11,2022-07-01T02:56:53,49,C,44
PM46,2022-07-01T02:55:59,237,C,32
HG1A,2022-07-01T02:56:55,563,C,162
HG36,2022-07-01T02:57:21,220,C,44
HG53,2022-07-01T02:57:06,201,C,13
HG56,2022-07-01T02:57:04,20,C,0
HG80,2022-07-01T02:57:05,437,C,227
Y68M,2022-07-01T02:58:07,595,C,210
Y68L,2022-07-01T02:58:07,6,C,0
W90,2022-07-01T00:37:59,499,C,289
W91,2022-07-01T00:37:59,414,C,231
DRM1,2022-07-01T02:58:35,448,C,338
DRM3,2022-07-01T02:58:35,285,C,188
DRM4,2022-07-01T02:58:36,104,C,5
DRM5,2022-07-01T02:58:36,84,C,9
DRS,2022-07-01T02:58:35,1325,C,1300
BJ20,2022-07-01T02:58:38,235,C,12
BJ68,2022-07-01T02:58:38,253,C,94
DRM2,2022-07-01T02:58:35,392,C,189
TM51,2022-07-01T02:57:21,330,C,175
W67,2022-07-01T00:36:30,246,C,128
W717,2022-07-01T00:36:30,114,C,60
SI13,2022-07-01T02:57:28,689,C,212
Y63M,2022-07-01T02:57:44,390,C,165
Y64M,2022-07-01T02:57:22,427,C,179
A21,2022-07-01T02:59:00,633,C,310
A29,2022-07-01T02:58:53,435,C,163
A63,2022-07-01T02:58:57,715,C,272
A88,2022-07-01T02:59:15,44,C,0
SB10,2022-07-01T02:56:04,549,C,360
SB11,2022-07-01T02:55:18,444,C,231
SB13,2022-07-01T02:57:58,1267,C,779
SB12,2022-07-01T02:57:03,798,C,473
W65,2022-07-01T00:35:25,360,C,105
W66,2022-07-01T00:35:49,340,C,104
T38,2022-07-01T02:57:21,974,C,327
T39,2022-07-01T02:57:21,746,C,212
TM41,2022-07-01T02:57:21,272,C,177
W83,2022-07-01T00:37:29,448,C,225
W84,2022-07-01T00:37:48,499,C,190
CK18,2022-07-01T02:56:56,98,C,17
SE51,2022-07-01T02:58:30,280,C,112
HG33,2022-07-01T02:57:22,496,C,68
A77,2022-07-01T02:59:03,267,C,66
A78,2022-07-01T02:59:13,546,C,390
SB7,2022-07-01T02:56:09,421,C,266
SB8,2022-07-01T02:56:27,296,C,112
SB9,2022-07-01T02:54:33,486,C,346
W41,2022-07-01T00:37:29,251,C,32
W55,2022-07-01T00:37:29,373,C,129
Y29,2022-07-01T02:58:26,26,C,8
BE34,2022-07-01T02:58:23,303,C,98
BE35,2022-07-01T02:58:23,190,C,0
Y65M,2022-07-01T02:56:03,500,C,275
Y66M,2022-07-01T02:57:03,412,C,164
BJ58,2022-07-01T02:56:44,850,C,558
W98,2022-07-01T00:36:47,1494,C,883
W61,2022-07-01T00:37:58,1209,C,422
TM47,2022-07-01T02:55:53,655,C,314
T7A,2022-07-01T02:56:19,283,C,268
B23M,2022-07-01T02:56:20,864,C,462
A13,2022-07-01T02:58:30,199,C,93
SH1,2022-07-01T02:58:17,607,C,4
BJ50,2022-07-01T02:56:45,854,C,439
BJ53,2022-07-01T02:56:45,1064,C,662
BJ54,2022-07-01T02:56:34,625,C,355
H93L,2022-07-01T02:57:17,38,C,24
HG93,2022-07-01T02:57:00,899,C,381
HG98,2022-07-01T02:57:01,304,C,37
BJ61,2022-07-01T02:56:56,470,C,115
CKM4,2022-07-01T02:56:56,537,C,221
CK74,2022-07-01T02:56:34,855,C,282
CK78,2022-07-01T02:56:52,1712,C,1218
KJML,2022-07-01T02:55:04,5,C,5
KRM,2022-07-01T02:57:46,173,C,100
C29A,2022-07-01T02:58:44,99,C,88
CLRG,2022-07-01T02:58:50,487,C,176
CLTR,2022-07-01T02:58:50,890,C,480
BE18,2022-07-01T02:58:32,560,C,94
BE44,2022-07-01T02:58:32,424,C,234
PDC5,2022-07-01T02:57:35,185,C,142
PDP5,2022-01-12T15:05:16,140,C,114
GM1M,2022-07-01T02:59:01,1530,C,666
CK1,2022-07-01T02:56:56,331,C,24
PDR2,2022-07-01T02:57:38,222,C,197
PDR6,2022-07-01T02:54:20,248,C,222
Y14,2022-07-01T02:56:27,640,C,275
SK1,2022-07-01T02:55:56,657,C,193
SK8,2022-07-01T02:57:53,659,C,348
SK61,2022-07-01T02:57:40,713,C,396
BRM7,2022-07-01T02:56:02,360,C,200
TPMR,2022-07-01T02:58:37,374,C,131
Y1,2022-07-01T02:58:09,149,C,99
Y2,2022-07-01T02:58:09,399,C,161
Y54M,2022-07-01T02:40:23,434,C,296
PDR7,2022-07-01T02:57:58,169,C,0
PDS1,2022-07-01T02:57:52,346,C,271
PDT8,2022-07-01T02:57:47,45,C,36
PDW7,2022-07-01T02:57:53,171,C,42
CCKC,2022-07-01T02:58:12,53,C,39
UBM2,2022-07-01T02:58:12,485,C,276
BL8L,2022-07-01T02:58:38,6,C,3
Y30M,2022-07-01T02:58:35,321,C,247
WCC,2022-07-01T02:58:17,190,C,67
SB47,2022-07-01T02:59:38,182,C,87
P73L,2022-07-01T02:56:11,4,C,3
S116,2022-07-01T02:59:31,227,C,103
DWSO,2022-07-01T02:44:01,613,C,470
BKE3,2022-07-01T02:57:38,17,C,0
BKE2,2022-07-01T02:57:38,17,C,1
S114,2022-07-01T02:59:49,336,C,247
DSR1,2022-07-01T02:44:04,225,C,170
DSR2,2022-07-01T02:44:04,616,C,552
DSRL,2022-07-01T02:45:04,100,C,0
BJ69,2022-07-01T02:58:13,428,C,331
BJ71,2022-07-01T02:58:33,312,C,262
BJ72,2022-07-01T02:58:37,200,C,143
SK54,2022-07-01T02:59:49,500,C,220
HG1F,2022-07-01T02:58:04,469,C,453
TPMQ,2022-07-01T02:57:48,662,C,284
SK82,2022-07-01T02:58:20,66,C,5
SK84,2022-07-01T02:58:20,611,C,220
S103,2022-07-01T02:56:01,366,C,166
SK76,2022-07-01T02:58:00,337,C,82
SK79,2022-07-01T02:58:00,253,C,39
KAS,2022-07-01T02:58:46,26,C,11
SLS,2022-07-01T02:58:46,79,C,31
U60,2022-07-01T02:55:57,558,C,136
U58,2022-07-01T02:58:53,850,C,246
TW4,2022-07-01T02:56:44,266,C,38
BE19,2022-07-01T02:58:14,380,C,305
BE22,2022-07-01T02:58:14,8,C,3
PL71,2022-07-01T02:56:12,737,C,207
S107,2022-07-01T02:55:53,418,C,103
U55,2022-07-01T02:57:08,350,C,71
W96,2022-07-01T00:36:01,756,C,427
W25,2022-07-01T00:37:53,450,C,61
Y45,2022-07-01T02:57:18,311,C,159
Y46,2022-07-01T02:57:18,593,C,155
J47,2022-07-01T02:58:33,34,C,30
AM43,2022-07-01T02:58:37,465,C,169
BJ4,2022-07-01T02:56:47,752,C,289
BJ8,2022-07-01T02:56:46,957,C,236
CK66,2022-07-01T02:56:51,164,C,31
J35,2022-07-01T02:58:50,165,C,37
CKM5,2022-07-01T02:56:57,2754,C,2327
CKM6,2022-07-01T02:56:55,935,C,587
GM6A,2022-07-01T02:58:56,167,C,60
SB41,2022-07-01T02:58:32,464,C,217
W785,2022-07-01T02:58:19,487,C,192
CK72,2022-07-01T02:56:53,680,C,259
U56,2022-07-01T02:58:54,1004,C,208
S109,2022-07-01T02:56:02,481,C,278
S110,2022-07-01T02:56:19,315,C,143
BTM3,2022-07-01T02:58:58,360,C,105
U57,2022-07-01T02:58:08,1070,C,349
CKM3,2022-07-01T02:56:55,456,C,156
W783,2022-07-01T00:37:39,390,C,183
TGM4,2022-07-01T02:58:54,388,C,166
Y69M,2022-06-30T20:16:31,350,C,200
Y70M,2022-06-30T19:46:48,1248,C,696
Y71M,2022-07-01T02:58:29,423,C,184
SE9,2022-07-01T02:58:17,470,C,206
BJ60,2022-07-01T02:56:59,920,C,620
C15M,2022-07-01T02:58:38,289,C,136
HG3B,2022-07-01T02:56:06,432,C,236
HG3D,2022-07-01T02:56:11,267,C,72
CK9A,2022-07-01T02:56:51,372,C,40
SGTM,2022-07-01T02:56:05,429,C,114
TPL,2022-07-01T02:58:45,18,C,0
J5,2022-07-01T02:56:01,192,C,96
S108,2022-07-01T02:57:13,900,C,339
SK98,2022-07-01T02:55:31,816,C,151
S106,2022-07-01T02:57:23,478,C,263
BJ57,2022-07-01T02:58:37,24,C,7
S104,2022-07-01T02:55:37,339,C,114
S105,2022-07-01T02:55:17,367,C,168
SK99,2022-07-01T02:56:37,824,C,250
BM10,2022-07-01T02:58:34,2000,C,1709
BM13,2022-07-01T02:58:34,117,C,0
PL75,2022-07-01T02:55:59,579,C,190
PL78,2022-07-01T02:56:15,472,C,132
PL77,2022-07-01T02:56:06,376,C,127
TJ41,2022-07-01T02:55:57,316,C,129
J49M,2022-07-01T02:58:58,423,C,233
TJ42,2022-07-01T02:55:19,126,C,58
CK73,2022-07-01T02:57:27,501,C,178
U64,2022-07-01T02:58:42,382,C,119
W691,2022-07-01T02:58:18,333,C,143
W693,2022-06-30T21:17:05,322,C,117
W694,2022-06-30T21:17:06,313,C,191
SB37,2022-07-01T02:58:12,719,C,326
SB39,2022-07-01T02:58:14,273,C,112
SB36,2022-07-01T02:58:12,279,C,76
SB38,2022-07-01T02:58:25,666,C,286
SB40,2022-07-01T02:58:36,263,C,157
Y77L,2022-06-30T20:17:34,2,C,0
Y77M,2022-06-30T20:17:33,423,C,234
Y78M,2022-07-01T02:58:08,216,C,59
A33,2022-07-01T02:58:35,2,C,0
AM64,2022-07-01T02:58:22,552,C,308
S100,2022-07-01T02:57:45,1104,C,413
PL70,2022-07-01T02:56:03,773,C,298
HG2A,2022-07-01T02:56:10,408,C,125
HG2C,2022-07-01T02:55:54,483,C,249
